index,Thiessen_date,Thiessen,skew_date,skew,diff_days,abs_days
2,1980-06-24,44.35271056937683,1980-06-09,0.1589709702720926,15 days 00:00:00.000000000,15.0
13,1981-06-29,47.8322056362696,1981-06-27,0.0623537216776221,2 days 00:00:00.000000000,2.0
25,1982-06-03,38.72602613286386,1982-06-30,0.14417243074828084,-27 days +00:00:00.000000000,27.0
37,1983-06-24,35.744951838817485,1983-06-04,0.0822395404712445,20 days 00:00:00.000000000,20.0
48,1984-06-01,31.75185350526329,1984-06-10,0.16988284069126428,-9 days +00:00:00.000000000,9.0
60,1985-06-13,35.86790695158869,1985-06-22,0.15522079136006414,-9 days +00:00:00.000000000,9.0
72,1986-06-23,76.4936312157888,1986-06-14,0.2247494289972397,9 days 00:00:00.000000000,9.0
84,1987-06-11,62.87311502856306,1987-06-20,0.20655937052260054,-9 days +00:00:00.000000000,9.0
96,1988-06-06,33.76340881116434,1988-06-09,0.22849364266101285,-3 days +00:00:00.000000000,3.0
108,1989-06-25,32.48892195183473,1989-06-28,0.11782473021695256,-3 days +00:00:00.000000000,3.0
120,1990-06-22,47.843828326396896,1990-06-28,0.14157181117696496,-6 days +00:00:00.000000000,6.0
132,1991-06-22,36.72832245977894,1991-06-04,0.1810149687476384,18 days 00:00:00.000000000,18.0
143,1992-06-19,25.544199196251768,1992-06-20,0.33722741780699905,-1 days +00:00:00.000000000,1.0
155,1993-06-23,49.225528423986795,1993-06-28,0.1339552402149979,-5 days +00:00:00.000000000,5.0
167,1994-06-28,152.88632920406494,1994-06-29,0.10501729994587868,-1 days +00:00:00.000000000,1.0
179,1995-06-29,25.50144314369782,1995-06-29,0.07272938412249354,0 days 00:00:00.000000000,0.0
191,1996-06-21,42.68472395076562,1996-06-11,0.20800887697666354,10 days 00:00:00.000000000,10.0
203,1997-06-17,33.986647407415,1997-06-01,0.13135648691563204,16 days 00:00:00.000000000,16.0
215,1998-06-08,45.819659887658176,1998-06-08,0.18188995435399014,0 days 00:00:00.000000000,0.0
227,1999-06-28,21.846649878579218,1999-06-30,0.07447093079997016,-2 days +00:00:00.000000000,2.0
239,2000-06-02,72.89529108372292,2000-06-28,0.07308440171933023,-26 days +00:00:00.000000000,26.0
251,2001-06-21,44.745007638197954,2001-06-02,0.1772032743956825,19 days 00:00:00.000000000,19.0
263,2002-06-20,46.257468443799645,2002-06-18,0.14157116734615208,2 days 00:00:00.000000000,2.0
275,2003-06-25,62.06562373715824,2003-06-23,0.12929566158674127,2 days 00:00:00.000000000,2.0
287,2004-06-03,50.7335469716556,2004-06-13,0.17840853800560538,-10 days +00:00:00.000000000,10.0
299,2005-06-20,59.0696092412529,2005-06-02,0.1483923541624514,18 days 00:00:00.000000000,18.0
311,2006-06-05,24.845938368943703,2006-06-21,0.16115423010346885,-16 days +00:00:00.000000000,16.0
323,2007-06-22,17.703851185294738,2007-06-23,0.2648052643837654,-1 days +00:00:00.000000000,1.0
335,2008-06-11,37.86284867497285,2008-06-11,0.07754191222238986,0 days 00:00:00.000000000,0.0
347,2009-06-27,15.535788828022405,2009-06-01,0.20217924017452416,26 days 00:00:00.000000000,26.0
359,2010-06-15,35.08324763638177,2010-06-06,0.19936314592248394,9 days 00:00:00.000000000,9.0
382,2012-06-01,73.48226760816665,2012-06-07,0.150989673736134,-6 days +00:00:00.000000000,6.0
394,2013-06-16,29.74049745279141,2013-06-03,0.1273761960453292,13 days 00:00:00.000000000,13.0
406,2014-06-29,55.47666956673235,2014-06-18,0.09840713085481698,11 days 00:00:00.000000000,11.0
428,2016-06-20,40.856761943427614,2016-06-15,0.12180104290227756,5 days 00:00:00.000000000,5.0
440,2017-06-21,38.38676422642161,2017-06-11,0.11345022961903795,10 days 00:00:00.000000000,10.0
