month,Thiessen_sum,skew
1,0.3882854659693423,-0.029049039709472074
2,0.27784797187690574,-0.015070720083245443
3,0.6520060155880428,-0.0011080157498692244
4,2.003552216996607,-0.002003931417967685
5,6.3217399312361895,-0.0009112582026512902
6,7.820848979177567,-0.011629310249058817
7,8.33087737494623,0.04631119814562535
8,8.142996177395258,0.04616514318628038
9,9.717334339293966,0.01961202705685718
10,8.744962766649067,0.036310709755770755
11,4.837135598715272,-0.027460318430744084
12,1.241232070551688,-0.05440160312708386
